library_id,name,street,postal_code,city,region,country,latitude,longitude,opening_hours
69,Ústřední knihovna - Suterén,Mariánské náměstí 98/1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 13:00–17:00 | Tue 16:00–20:00 | Wed 15:00–17:00
71,Ústřední knihovna - Pokladna sálů,Mariánské náměstí 98/1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 14:00–20:00 | Tue 14:00–20:00 | Wed 14:00–20:00 | Thu 14:00–20:00 | Fri 14:00–20:00
74,Mariánské náměstí,Mariánské náměstí 1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 06:00–22:00 | Tue 06:00–22:00 | Wed 06:00–22:00 | Thu 06:00–22:00 | Fri 06:00–22:00 | Sat 06:00–22:00 | Sun 06:00–22:00
2,Barrandov,Wassermannova 926/16,152 00,Praha 5,,Česko,50.028402,14.36824,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
5,Bohnice,Těšínská 600/4,181 00,Praha 8,,Česko,50.128879,14.418651,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00 | Sat 09:00–13:00
68,Brusnice - vzácné tisky,U Brusnice 324/9,16900,Praha 6,,Česko,50.094008,14.392211,Wed 09:00–12:00 | Wed 13:00–18:00
6,Břevnov,Bělohorská 1666/56,169 00,Praha 6,,Česko,50.084426,14.374038,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
8,Cibulka,Musílkova 335/62,150 00,Praha 5,,Česko,50.0676633,14.3665122,Tue 09:00–18:00 | Wed 12:00–18:00 | Thu 12:00–18:00
11,Dědina,Žukovského 888/2,161 00,Praha 6,,Česko,50.090728,14.308937,Mon 13:00–18:00 | Tue 09:00–16:00 | Wed 12:00–18:00 | Thu 12:00–18:00 | Fri 09:00–16:00
12,Dejvice,Technická 2710/6,160 80,Praha 6,,Česko,50.1039,14.3906,Mon 13:00–19:00 | Tue 09:00–19:00 | Wed 09:00–19:00 | Thu 09:00–19:00 | Fri 09:00–19:00 | Sat 09:00–13:00
15,Dittrichova,Dittrichova 1543/2,120 00,Praha 2,,Česko,50.073719,14.416502,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
67,DOK16 – Sousedská dílna,"Kobka č. 16, Hořejší nábřeží null",150 00,Praha 5,,Česko,50.0685992,14.4115619,
38,Dům čtení (Ruská),Ruská 1455/192,10000,Praha 10,,Česko,50.072703,14.483362,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00 | Sat 09:00–13:00
16,Hloubětín,Hloubětínská 1138/5,198 00,Praha 14,,Česko,50.1039175,14.5345767,Mon 13:00–19:00 | Tue 13:00–19:00 | Wed 13:00–19:00 | Thu 13:00–19:00 | Fri 09:00–16:00 | Sat 09:00–13:00
18,Hostivař,Golfová 910/10,102 00,Praha 15,,Česko,50.049002,14.547006,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
19,Hradčany,Pohořelec 111/25,118 00,Praha 1,,Česko,50.088114,14.389788,Mon 12:00–17:00 | Tue 12:00–17:00 | Wed 12:00–17:00 | Thu 12:00–17:00
20,Chodov,Jírovcovo náměstí 1782/1,148 00,Praha 11,,Česko,50.024191,14.491924,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
66,Jezerka,Nuselská 603/94,140 00,Praha 4,,Česko,50.0579253,14.4499814,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 09:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00 | Sat 09:00–13:00
